Area,Region,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Afghanistan,Asia,78.29,2.28,993.66,247.6,46.09,2278.0,1991.0,2024.0
Albania,Europe,86.59,9.85,284.52,55.87,74.29,3106.0,1993.0,2024.0
Algeria,Africa,75.32,2.59,332.35,79.55,81.08,3570.0,1991.0,2024.0
Angola,Africa,108.28,17.71,231.27,37.69,35.25,540.0,2010.0,2024.0
Antigua and Barbuda,Americas,101.16,38.29,320.24,30.17,56.82,1053.0,1996.0,2024.0
Argentina,Americas,95.63,0.36,9031.02,516.59,1870.46,3944.0,1991.0,2024.0
Armenia,Asia,89.13,12.31,706.13,94.9,9.16,2072.0,1997.0,2024.0
Australia,Oceania,90.56,16.83,715.73,54.3,43.41,4067.0,1991.0,2024.0
Austria,Europe,95.07,17.53,392.16,53.46,41.59,3343.0,1991.0,2024.0
Azerbaijan,Asia,81.56,0.39,1251.05,148.64,52.81,3373.0,1994.0,2024.0
Bangladesh,Asia,76.19,9.83,307.59,75.94,92.7,3351.0,1991.0,2024.0
Barbados,Americas,89.93,17.15,239.21,36.36,23.7,2063.0,1991.0,2024.0
Belarus,Europe,78.23,0.0,834.9,219.58,915.67,2123.0,1994.0,2024.0
Belgium,Europe,112.24,16.31,355.73,53.61,26.05,1948.0,2000.0,2024.0
Belize,Americas,95.4,7.96,318.6,83.31,69.35,2341.0,1991.0,2024.0
Benin,Africa,93.33,3.78,200.38,150.88,10.11,530.0,1991.0,2024.0
Bhutan,Asia,77.3,0.72,539.8,238.46,149.53,2592.0,1991.0,2024.0
Bolivia (Plurinational State of),Americas,87.93,3.45,810.28,132.91,85.92,3978.0,1991.0,2024.0
Bosnia and Herzegovina,Europe,95.4,10.82,351.85,62.18,51.94,2421.0,1996.0,2024.0
Botswana,Africa,68.59,4.71,160.68,176.31,150.24,497.0,1991.0,2024.0
Brazil,Americas,77.57,0.0,605.58,214.85,269.83,4036.0,1991.0,2024.0
