Item,Product_Category,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
"Abaca, manila hemp, raw",Fibers,68.08,1.23,132.29,137.43,27.17,136.0,1991.0,2024.0
"Agave fibres, raw, n.e.c.",Fibers,78.61,8.48,131.78,67.79,59.06,169.0,1991.0,2024.0
Agriculture,Aggregates,130.04,0.0,173292.74,8941.13,46.09,5050.0,1991.0,2024.0
"Almonds, in shell",Nuts,81.2,0.05,1312.32,1495.26,-13.6,1279.0,1991.0,2024.0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Spices,83.43,0.05,2610.0,4227.33,-43.75,1020.0,1991.0,2024.0
Apples,Fruits,248.87,0.01,336501.06,26424.78,10.56,2752.0,1991.0,2024.0
Apricots,Fruits,86.25,0.04,1540.14,2285.19,-10.52,2036.0,1991.0,2024.0
Areca nuts,Nuts,79.57,1.25,231.62,232.65,197.41,369.0,1991.0,2024.0
Artichokes,Vegetables,84.3,0.06,869.29,3650.69,33.01,800.0,1991.0,2024.0
Asparagus,Vegetables,87.49,0.03,983.9,11511.85,70.59,1250.0,1991.0,2024.0
Avocados,Fruits,177.89,0.01,118836.0,21673.71,-5.43,1748.0,1991.0,2024.0
"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",Other Industrial,67.75,0.0,116.12,8987.07,12.39,68.0,1991.0,2024.0
"Bambara beans, dry",Pulses,84.6,22.28,148.14,56.66,10.77,118.0,1991.0,2024.0
Bananas,Fruits,172.35,0.0,180300.1,13406.84,326.39,2821.0,1991.0,2024.0
Bananas cavendish,Fruits,129.53,75.0,651.0,91.43,-1.0,101.0,1996.0,2024.0
Barley,Cereals,91.07,0.01,1380.65,26667.92,-34.73,2926.0,1991.0,2024.0
"Beans, dry",Pulses,168.63,0.0,221096.42,7745.51,105.41,3409.0,1991.0,2024.0
Beeswax,Other Industrial,83.36,0.13,958.73,791.87,198.45,450.0,1991.0,2024.0
Blueberries,Fruits,92.41,0.25,360.27,1384.32,-0.49,314.0,1991.0,2024.0
"Brazil nuts, in shell",Nuts,72.92,0.0,177.88,32876.93,175.9,136.0,1991.0,2024.0
"Broad beans and horse beans, dry",Pulses,81.46,0.0,1266.36,23886.8,75.97,1674.0,1991.0,2024.0
"Broad beans and horse beans, green",Vegetables,91.5,0.07,1628.48,2582.84,8.24,1667.0,1991.0,2024.0
Buckwheat,Cereals,88.66,0.0,903.82,19726.79,693.94,831.0,1991.0,2024.0
Cabbages,Vegetables,112.36,0.02,67746.1,7032.26,82.38,3981.0,1991.0,2024.0
Canary seed,Cereals,72.77,0.1,471.5,4441.43,176.1,306.0,1991.0,2024.0
Cantaloupes and other melons,Fruits,114.47,0.01,39462.99,7451.24,-16.96,2490.0,1991.0,2024.0
Carrots and turnips,Vegetables,131.97,0.02,106303.46,7170.23,43.53,3454.0,1991.0,2024.0
"Cashew nuts, in shell",Nuts,81.03,0.0,372.55,2459.52,131.12,903.0,1991.0,2024.0
Cashewapple,Fruits,71.49,0.0,145.0,13087.14,14.92,102.0,1991.0,2024.0
"Cassava, fresh",Roots & Tubers,87.33,0.0,687.83,1507.65,-16.89,2238.0,1991.0,2024.0
Castor oil seeds,Oilseeds,72.51,0.0,247.59,5219.56,45.08,808.0,1991.0,2024.0
Cauliflowers and broccoli,Vegetables,90.88,0.1,1367.04,1921.07,65.61,2739.0,1991.0,2024.0
Cereals n.e.c.,Cereals,360.54,0.16,342442.35,8128.83,187.84,1660.0,1991.0,2024.0
"Cereals, primary",Cereals,115.11,0.0,94582.0,7529.95,178.18,4761.0,1991.0,2024.0
Cherries,Fruits,86.62,0.04,1411.23,2461.28,31.26,2124.0,1991.0,2024.0
"Chestnuts, in shell",Nuts,84.43,0.05,1836.42,6679.47,312.7,823.0,1991.0,2024.0
"Chick peas, dry",Pulses,85.64,0.05,1815.35,2589.98,3.62,1576.0,1991.0,2024.0
Chicory roots,Vegetables,85.08,0.08,250.12,3788.51,14.5,437.0,1991.0,2024.0
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Spices,87.83,0.08,680.1,946.29,0.82,1692.0,1991.0,2024.0
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Vegetables,109.57,0.08,60269.9,4023.02,94.49,3424.0,1991.0,2024.0
"Cinnamon and cinnamon-tree flowers, raw",Spices,78.01,0.3,279.27,957.12,17.47,249.0,1991.0,2024.0
"Citrus Fruit, Total",Fruits,115.93,0.0,75506.17,2603.98,-14.25,3338.0,1991.0,2024.0
"Cloves (whole stems), raw",Spices,80.42,1.76,677.95,325.23,36.36,204.0,1991.0,2024.0
"Coarse Grain, Total",Cereals,107.46,0.0,71878.28,12822.54,100.83,4726.0,1991.0,2024.0
Cocoa beans,Beverages,79.19,0.0,489.97,1284.51,-22.41,1201.0,1991.0,2024.0
"Coconuts, in shell",Oilseeds,81.52,0.01,1179.47,7388.56,15.8,1813.0,1991.0,2024.0
"Coffee, green",Beverages,82.24,0.0,661.17,21501.51,123.19,1764.0,1991.0,2024.0
Cooking bananas,Fruits,119.89,18.0,267.0,69.89,,61.0,2012.0,2024.0
"Cotton lint, ginned",Fibers,89.81,0.0,1251.05,3437.59,-11.1,2188.0,1991.0,2024.0
Cotton seed,Oilseeds,89.66,0.0,1785.81,3810.72,-38.93,2153.0,1991.0,2024.0
"Cow peas, dry",Pulses,82.31,1.3,506.29,224.48,17.91,854.0,1991.0,2024.0
Cranberries,Fruits,106.7,0.77,387.85,1354.34,2609.0,273.0,1991.0,2024.0
Cucumbers and gherkins,Vegetables,152.15,0.01,178323.55,15317.21,130.18,3713.0,1991.0,2024.0
Currants,Fruits,90.67,0.03,484.91,11455.88,4.64,1036.0,1991.0,2024.0
Dates,Fruits,94.78,0.09,1882.7,1609.27,173.7,937.0,1991.0,2024.0
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots & Tubers,87.93,0.06,3833.72,4539.85,-4.71,1822.0,1991.0,2024.0
Eggplants (aubergines),Vegetables,83.1,0.04,1661.71,1957.08,78.78,2457.0,1991.0,2024.0
Eggs Primary,Dairy & Eggs,87.15,0.0,3070.33,4443.34,25.86,4761.0,1991.0,2024.0
"Eggs from other birds in shell, fresh, n.e.c.",Dairy & Eggs,76.81,0.0,244.68,4979.32,37.03,1270.0,1991.0,2024.0
Fibre Crops Primary,Fibers,84.17,0.0,1172.19,3921.25,-35.88,2852.0,1991.0,2024.0
Figs,Fruits,87.75,0.01,2245.28,12808.98,-43.72,1466.0,1991.0,2024.0
"Flax, processed but not spun",Fibers,86.36,0.1,404.72,6951.92,-13.42,707.0,1991.0,2024.0
Fonio,Cereals,76.19,2.8,312.57,144.46,49.09,263.0,1991.0,2024.0
Fruit Primary,Fruits,119.66,0.0,131229.45,6368.66,-20.86,4865.0,1991.0,2024.0
"Fruit excl Melons, Total",Fruits,119.58,0.0,131352.57,5246.32,-24.08,4851.0,1991.0,2024.0
"Game meat, fresh, chilled or frozen",Meat,79.94,0.95,241.03,533.26,-2.34,1376.0,1991.0,2024.0
"Ginger, raw",Spices,77.92,0.28,420.83,809.96,56.54,1057.0,1991.0,2024.0
