Region,Year,Product_Category,Avg_Price,Std_Price,Min_Price,Max_Price,Count
Africa,1991,Aggregates,25.5,20.36,0.33,94.58,59
Africa,1991,Beverages,20.78,18.38,0.62,92.45,30
Africa,1991,Cereals,23.7,22.0,0.21,132.63,200
Africa,1991,Dairy & Eggs,31.93,28.59,0.33,149.52,141
Africa,1991,Fibers,30.61,26.47,1.23,102.85,82
Africa,1991,Fruits,32.68,28.02,0.11,145.99,346
Africa,1991,Meat,29.68,25.92,0.22,220.83,390
Africa,1991,Nuts,35.45,29.21,3.49,93.63,54
Africa,1991,Oilseeds,31.88,29.59,0.22,184.15,172
Africa,1991,Other Industrial,31.5,30.89,0.29,139.0,68
Africa,1991,Pulses,31.39,27.45,0.09,134.42,111
Africa,1991,Roots & Tubers,31.23,40.43,0.22,285.6,101
Africa,1991,Spices,40.15,48.76,0.28,260.63,50
Africa,1991,Sugar Crops,31.83,29.17,0.04,85.04,21
Africa,1991,Vegetables,34.56,33.11,0.12,192.94,317
Africa,1992,Aggregates,27.04,21.6,0.36,100.72,59
Africa,1992,Beverages,21.68,19.15,0.69,92.45,30
Africa,1992,Cereals,26.76,24.45,0.31,132.63,201
Africa,1992,Dairy & Eggs,33.98,29.59,0.44,152.65,141
Africa,1992,Fibers,32.45,27.78,1.02,102.85,82
Africa,1992,Fruits,35.04,30.05,0.12,149.48,347
Africa,1992,Meat,31.91,26.81,0.3,196.21,391
Africa,1992,Nuts,38.52,30.63,4.55,100.24,54
Africa,1992,Oilseeds,33.91,31.82,0.26,248.09,172
Africa,1992,Other Industrial,32.69,31.86,0.35,152.9,68
Africa,1992,Pulses,34.88,28.13,0.11,136.01,111
Africa,1992,Roots & Tubers,31.1,39.16,0.31,271.4,101
Africa,1992,Spices,43.96,52.59,0.3,278.54,50
Africa,1992,Sugar Crops,35.27,29.36,0.04,85.04,21
Africa,1992,Vegetables,36.64,34.42,0.15,202.12,318
Africa,1993,Aggregates,27.83,21.31,0.38,102.16,63
Africa,1993,Beverages,25.39,22.67,0.71,95.09,33
Africa,1993,Cereals,25.82,22.68,0.46,132.63,220
Africa,1993,Dairy & Eggs,33.5,28.19,0.71,154.74,156
Africa,1993,Fibers,32.81,24.9,1.68,94.5,87
Africa,1993,Fruits,34.45,29.85,0.12,161.53,364
Africa,1993,Meat,32.39,26.82,0.36,217.58,423
Africa,1993,Nuts,38.19,29.78,5.0,98.54,56
