Area,Region,Product_Category,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Afghanistan,Asia,Aggregates,70.55,14.84,112.77,43.73,46.09,68.0,1991.0,2024.0
Afghanistan,Asia,Cereals,118.14,10.62,993.66,279.23,-34.73,238.0,1991.0,2024.0
Afghanistan,Asia,Dairy & Eggs,68.5,2.28,126.49,68.94,25.86,238.0,1991.0,2024.0
Afghanistan,Asia,Fibers,86.03,10.35,152.85,93.73,-11.1,102.0,1991.0,2024.0
Afghanistan,Asia,Fruits,87.64,8.6,273.57,96.75,10.56,510.0,1991.0,2024.0
Afghanistan,Asia,Meat,65.64,8.74,115.86,22.46,-2.34,408.0,1991.0,2024.0
Afghanistan,Asia,Nuts,81.72,7.92,208.18,229.6,-13.6,170.0,1991.0,2024.0
Afghanistan,Asia,Oilseeds,62.97,10.33,114.15,11.54,-38.93,204.0,1991.0,2024.0
Afghanistan,Asia,Other Industrial,66.33,8.6,112.77,35.79,-36.24,102.0,1991.0,2024.0
Afghanistan,Asia,Pulses,62.83,11.18,112.77,13.47,-39.05,68.0,1991.0,2024.0
Afghanistan,Asia,Roots & Tubers,59.33,17.41,145.29,28.08,83.94,34.0,1991.0,2024.0
Afghanistan,Asia,Spices,61.68,10.62,112.77,18.82,-43.75,34.0,1991.0,2024.0
Afghanistan,Asia,Sugar Crops,63.11,11.24,112.77,18.51,-36.14,34.0,1991.0,2024.0
Afghanistan,Asia,Vegetables,71.04,17.41,145.29,101.1,83.94,68.0,1991.0,2024.0
Albania,Europe,Aggregates,87.46,42.76,177.06,13.12,74.29,64.0,1993.0,2024.0
Albania,Europe,Beverages,89.48,61.94,120.85,14.12,56.76,29.0,1996.0,2024.0
Albania,Europe,Cereals,84.88,33.93,133.03,20.44,38.5,287.0,1993.0,2024.0
Albania,Europe,Dairy & Eggs,87.82,22.49,284.52,32.69,105.78,224.0,1993.0,2024.0
Albania,Europe,Fibers,64.74,20.21,111.57,15.59,121.02,96.0,1993.0,2024.0
Albania,Europe,Fruits,88.01,13.78,255.19,53.1,102.14,629.0,1993.0,2024.0
Albania,Europe,Meat,87.25,16.23,261.27,33.68,2.44,440.0,1993.0,2024.0
Albania,Europe,Nuts,67.36,22.04,157.64,25.82,312.7,96.0,1993.0,2024.0
Albania,Europe,Oilseeds,65.5,9.85,153.89,59.01,121.02,160.0,1993.0,2024.0
Albania,Europe,Other Industrial,108.55,21.6,243.24,115.85,77.14,96.0,1993.0,2024.0
Albania,Europe,Pulses,73.34,13.41,147.55,25.12,105.41,179.0,1993.0,2024.0
Albania,Europe,Roots & Tubers,101.46,60.1,190.73,27.69,69.54,32.0,1993.0,2024.0
Albania,Europe,Spices,89.4,61.94,120.62,14.04,56.47,29.0,1996.0,2024.0
Albania,Europe,Sugar Crops,93.96,60.1,171.71,26.14,10.28,32.0,1993.0,2024.0
Albania,Europe,Vegetables,94.57,32.17,276.35,38.79,8.24,713.0,1993.0,2024.0
Algeria,Africa,Aggregates,74.59,8.77,149.89,44.19,81.08,68.0,1991.0,2024.0
Algeria,Africa,Cereals,75.64,9.2,125.58,29.21,-1.13,306.0,1991.0,2024.0
Algeria,Africa,Dairy & Eggs,79.88,17.03,131.91,15.21,64.26,238.0,1991.0,2024.0
Algeria,Africa,Fibers,78.68,14.85,114.05,12.74,-1.18,102.0,1991.0,2024.0
Algeria,Africa,Fruits,76.44,4.02,332.35,93.19,161.74,782.0,1991.0,2024.0
Algeria,Africa,Meat,71.95,3.8,185.14,74.82,42.48,646.0,1991.0,2024.0
Algeria,Africa,Nuts,78.94,12.58,114.05,31.57,0.2,68.0,1991.0,2024.0
Algeria,Africa,Oilseeds,77.87,8.5,114.05,28.83,-1.18,204.0,1991.0,2024.0
Algeria,Africa,Other Industrial,82.48,15.37,165.41,45.37,-4.13,102.0,1991.0,2024.0
Algeria,Africa,Pulses,79.09,9.5,141.45,32.85,10.43,272.0,1991.0,2024.0
Algeria,Africa,Roots & Tubers,75.01,8.63,166.1,30.35,100.35,34.0,1991.0,2024.0
Algeria,Africa,Spices,69.38,9.9,105.66,23.98,0.82,34.0,1991.0,2024.0
Algeria,Africa,Vegetables,71.84,2.59,196.39,65.85,33.01,714.0,1991.0,2024.0
Angola,Africa,Aggregates,108.29,81.83,141.48,17.29,35.25,30.0,2010.0,2024.0
Angola,Africa,Beverages,103.03,55.5,128.65,9.74,123.19,15.0,2010.0,2024.0
Angola,Africa,Cereals,110.7,84.69,164.97,13.85,9.61,90.0,2010.0,2024.0
Angola,Africa,Dairy & Eggs,101.68,81.83,115.09,2.46,38.73,30.0,2010.0,2024.0
Angola,Africa,Fruits,109.01,17.71,228.39,75.87,-5.43,105.0,2010.0,2024.0
Angola,Africa,Oilseeds,105.22,95.8,140.48,9.64,-10.18,45.0,2010.0,2024.0
Angola,Africa,Pulses,107.06,91.41,149.83,11.28,17.61,30.0,2010.0,2024.0
Angola,Africa,Roots & Tubers,120.73,84.05,180.75,23.45,-16.89,45.0,2010.0,2024.0
Angola,Africa,Spices,101.68,81.83,115.09,3.07,38.73,15.0,2010.0,2024.0
Angola,Africa,Vegetables,106.01,81.83,231.27,18.66,38.97,135.0,2010.0,2024.0
Antigua and Barbuda,Americas,Aggregates,88.54,38.29,147.22,39.9,56.82,58.0,1996.0,2024.0
Antigua and Barbuda,Americas,Cereals,106.62,57.96,295.41,7.47,216.17,87.0,1996.0,2024.0
Antigua and Barbuda,Americas,Dairy & Eggs,92.91,63.36,111.95,14.39,3.57,116.0,1996.0,2024.0
Antigua and Barbuda,Americas,Fruits,103.35,39.07,320.24,45.49,25.59,201.0,1996.0,2024.0
Antigua and Barbuda,Americas,Meat,94.25,50.5,208.62,21.55,14.12,319.0,1996.0,2024.0
Antigua and Barbuda,Americas,Roots & Tubers,115.5,81.78,248.2,18.03,79.79,68.0,2008.0,2024.0
Antigua and Barbuda,Americas,Vegetables,111.01,45.8,224.35,28.94,97.18,204.0,2008.0,2024.0
Argentina,Americas,Aggregates,152.75,4.47,1453.28,46.11,1870.46,68.0,1991.0,2024.0
Argentina,Americas,Beverages,68.88,4.12,356.72,158.17,95.09,68.0,1991.0,2024.0
Argentina,Americas,Cereals,93.7,2.43,979.16,80.03,189.94,408.0,1991.0,2024.0
Argentina,Americas,Dairy & Eggs,217.95,4.03,3070.33,33.51,12290.36,136.0,1991.0,2024.0
Argentina,Americas,Fibers,82.73,3.84,470.37,123.44,1131.8,170.0,1991.0,2024.0
Argentina,Americas,Fruits,59.69,2.65,163.98,65.93,109.15,748.0,1991.0,2024.0
Argentina,Americas,Meat,154.02,0.36,9031.02,1829.93,36.43,748.0,1991.0,2024.0
Argentina,Americas,Nuts,53.64,1.45,189.19,146.31,321.18,102.0,1991.0,2024.0
Argentina,Americas,Oilseeds,79.49,3.41,713.04,56.16,1235.07,340.0,1991.0,2024.0
Argentina,Americas,Other,70.58,7.42,244.46,29.03,1022.9,34.0,1991.0,2024.0
Argentina,Americas,Other Industrial,125.62,2.51,4597.15,287.56,198.45,170.0,1991.0,2024.0
Argentina,Americas,Pulses,65.45,4.29,188.35,48.67,399.14,238.0,1991.0,2024.0
Argentina,Americas,Roots & Tubers,96.64,2.26,531.66,31.97,1504.83,102.0,1991.0,2024.0
Argentina,Americas,Spices,70.91,11.27,207.36,104.41,7.77,102.0,1991.0,2024.0
Argentina,Americas,Sugar Crops,85.4,4.57,440.68,35.62,1518.54,34.0,1991.0,2024.0
Argentina,Americas,Vegetables,59.81,0.9,533.85,183.83,242.06,476.0,1991.0,2024.0
Armenia,Asia,Aggregates,89.13,55.15,131.76,10.67,9.16,56.0,1997.0,2024.0
Armenia,Asia,Cereals,93.93,60.6,156.35,15.67,-6.82,224.0,1997.0,2024.0
Armenia,Asia,Dairy & Eggs,87.25,63.23,132.0,8.04,30.56,196.0,1997.0,2024.0
Armenia,Asia,Fruits,86.51,12.35,280.0,51.26,-31.92,476.0,1997.0,2024.0
Armenia,Asia,Meat,79.45,15.57,165.56,35.71,69.27,308.0,1997.0,2024.0
Armenia,Asia,Nuts,74.75,42.1,137.45,14.03,13.54,56.0,1997.0,2024.0
Armenia,Asia,Other Industrial,155.5,57.62,706.13,269.05,66.78,84.0,1997.0,2024.0
Armenia,Asia,Pulses,80.33,20.05,373.23,78.52,58.6,168.0,1997.0,2024.0
Armenia,Asia,Roots & Tubers,88.82,53.69,152.33,30.16,6.84,28.0,1997.0,2024.0
Armenia,Asia,Sugar Crops,90.87,64.25,130.99,13.5,-3.44,28.0,1997.0,2024.0
Armenia,Asia,Vegetables,89.57,12.31,224.41,41.54,56.45,448.0,1997.0,2024.0
Australia,Oceania,Aggregates,87.03,57.31,120.86,8.34,43.41,68.0,1991.0,2024.0
Australia,Oceania,Beverages,74.4,32.74,163.16,28.15,-17.57,34.0,1991.0,2024.0
Australia,Oceania,Cereals,82.6,33.94,199.97,20.12,61.47,408.0,1991.0,2024.0
Australia,Oceania,Dairy & Eggs,88.09,60.01,123.08,11.86,31.77,136.0,1991.0,2024.0
Australia,Oceania,Fibers,154.29,29.63,356.82,70.02,-21.95,102.0,1991.0,2024.0
Australia,Oceania,Fruits,89.78,16.83,281.38,50.5,49.26,1075.0,1991.0,2024.0
Australia,Oceania,Meat,96.58,18.56,253.5,57.32,14.45,578.0,1991.0,2024.0
Australia,Oceania,Nuts,77.92,18.3,145.66,38.42,2.29,136.0,1991.0,2024.0
Australia,Oceania,Oilseeds,90.31,29.99,188.41,41.16,-2.77,306.0,1991.0,2024.0
Australia,Oceania,Other Industrial,78.04,34.01,154.6,19.52,37.74,136.0,1991.0,2024.0
Australia,Oceania,Pulses,89.7,40.9,243.81,37.97,12.45,306.0,1991.0,2024.0
Australia,Oceania,Roots & Tubers,95.91,56.65,144.41,33.7,35.28,68.0,1991.0,2024.0
Australia,Oceania,Spices,80.07,52.52,113.59,7.93,36.6,34.0,1991.0,2024.0
Australia,Oceania,Sugar Crops,89.29,58.97,130.64,14.43,5.39,34.0,1991.0,2024.0
Australia,Oceania,Vegetables,89.05,21.99,715.73,51.8,70.59,646.0,1991.0,2024.0
Austria,Europe,Aggregates,98.67,74.39,157.05,7.52,41.59,68.0,1991.0,2024.0
Austria,Europe,Beverages,91.84,59.92,159.66,9.63,39.84,34.0,1991.0,2024.0
Austria,Europe,Cereals,116.66,58.94,231.07,13.9,19.0,365.0,1991.0,2024.0
Austria,Europe,Dairy & Eggs,95.42,50.82,156.02,23.52,53.01,204.0,1991.0,2024.0
Austria,Europe,Fruits,89.52,25.55,290.85,43.15,139.3,520.0,1991.0,2024.0
Austria,Europe,Meat,93.84,37.16,219.45,42.6,34.08,748.0,1991.0,2024.0
Austria,Europe,Nuts,92.97,62.92,205.42,10.01,115.95,68.0,1991.0,2024.0
Austria,Europe,Oilseeds,89.91,39.59,190.6,28.55,55.72,228.0,1991.0,2024.0
Austria,Europe,Other Industrial,101.63,47.28,373.94,124.1,73.65,102.0,1991.0,2024.0
Austria,Europe,Pulses,93.65,17.53,164.56,123.17,69.05,202.0,1991.0,2024.0
Austria,Europe,Roots & Tubers,110.25,45.6,392.16,44.59,147.98,34.0,1991.0,2024.0
Austria,Europe,Sugar Crops,151.21,93.77,242.31,18.67,119.23,34.0,1991.0,2024.0
Austria,Europe,Vegetables,87.24,25.13,392.16,49.22,-0.67,736.0,1991.0,2024.0
Azerbaijan,Asia,Aggregates,78.69,2.55,182.54,100.66,52.81,62.0,1994.0,2024.0
Azerbaijan,Asia,Beverages,63.3,3.41,130.04,94.35,67.15,31.0,1994.0,2024.0
Azerbaijan,Asia,Cereals,85.65,3.32,404.49,80.57,45.01,298.0,1994.0,2024.0
Azerbaijan,Asia,Dairy & Eggs,91.51,0.39,283.53,322.65,77.2,246.0,1994.0,2024.0
Azerbaijan,Asia,Fibers,189.41,4.38,1251.05,183.86,4620.47,93.0,1994.0,2024.0
Azerbaijan,Asia,Fruits,72.1,0.83,227.5,66.1,-9.83,755.0,1994.0,2024.0
Azerbaijan,Asia,Meat,83.49,1.37,691.01,74.95,117.22,589.0,1994.0,2024.0
Azerbaijan,Asia,Nuts,78.35,5.66,240.0,66.47,54.75,208.0,1994.0,2024.0
Azerbaijan,Asia,Oilseeds,83.92,5.4,207.74,78.02,53.52,155.0,1994.0,2024.0
Azerbaijan,Asia,Other Industrial,82.39,0.48,498.94,1072.0,39.68,124.0,1994.0,2024.0
Azerbaijan,Asia,Pulses,66.41,0.75,260.87,58.76,190.81,190.0,1994.0,2024.0
Azerbaijan,Asia,Roots & Tubers,82.89,4.41,200.39,138.72,44.0,31.0,1994.0,2024.0
Azerbaijan,Asia,Spices,73.87,4.43,247.67,70.15,150.98,60.0,1994.0,2024.0
Azerbaijan,Asia,Sugar Crops,84.4,5.83,171.43,137.36,0.0,31.0,1994.0,2024.0
Azerbaijan,Asia,Vegetables,74.5,1.45,333.92,107.56,-3.23,500.0,1994.0,2024.0
Bangladesh,Asia,Aggregates,75.36,32.14,144.4,19.09,92.7,68.0,1991.0,2024.0
Bangladesh,Asia,Beverages,80.13,33.24,125.11,14.84,52.7,34.0,1991.0,2024.0
Bangladesh,Asia,Cereals,75.25,16.03,145.33,34.93,54.92,304.0,1991.0,2024.0
Bangladesh,Asia,Dairy & Eggs,76.85,14.49,163.03,77.2,84.44,272.0,1991.0,2024.0
Bangladesh,Asia,Fibers,76.34,9.83,217.2,82.39,-15.98,238.0,1991.0,2024.0
Bangladesh,Asia,Fruits,79.04,11.11,307.59,131.34,153.59,510.0,1991.0,2024.0
Bangladesh,Asia,Meat,81.21,43.78,131.78,10.58,49.28,442.0,1991.0,2024.0
Bangladesh,Asia,Nuts,66.36,22.07,166.82,22.64,197.41,68.0,1991.0,2024.0
Bangladesh,Asia,Oilseeds,77.23,21.29,203.64,52.11,45.08,327.0,1991.0,2024.0
Bangladesh,Asia,Other Industrial,77.81,22.57,138.8,27.82,49.75,102.0,1991.0,2024.0
Bangladesh,Asia,Pulses,71.68,16.65,140.12,37.85,53.36,238.0,1991.0,2024.0
Bangladesh,Asia,Roots & Tubers,70.15,13.05,177.41,36.3,174.99,68.0,1991.0,2024.0
Bangladesh,Asia,Spices,75.95,14.47,192.66,56.77,126.61,102.0,1991.0,2024.0
Bangladesh,Asia,Sugar Crops,72.38,31.41,136.92,6.84,62.24,68.0,1991.0,2024.0
Bangladesh,Asia,Vegetables,72.77,13.09,260.94,43.71,108.81,510.0,1991.0,2024.0
